Time,BlockedArrivalTime,BufferUtilizationMean,CraneManipulations,CraneUtilizationMean,DeliveredBlocks,HandoverUtilizationMean,LeadTimeMean,ServiceLevelMean,TardinessMean,TotalBlocksOnTime,UpstreamUtilizationMean
3165000,0.0,0.786770660964283,283,0.7994495788099927,82,0.14426400182465343,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3166000,0.0,0.7867758929353929,283,0.7995129294622186,82,0.14421843353101105,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3167000,0.0,0.7867758929353929,283,0.7995762401041792,82,0.14417289401535455,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3168000,0.0,0.7867949276229669,283,0.7995340613308608,82,0.14412738325043106,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3169000,0.0,0.7867949276229669,283,0.7992817404935716,82,0.14408190120902212,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3170000,0.0,0.7867949276229669,283,0.7990295788633065,82,0.1440364478639436,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3171000,0.0,0.7867949276229669,283,0.7990735573366523,82,0.14399102318804569,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3172000,0.0,0.786827023091839,284,0.7991369067017406,82,0.1439456271542128,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3173000,0.0,0.786827023091839,284,0.7992002161330392,82,0.14390025973536352,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3174000,0.0,0.786827023091839,284,0.7992634856682957,82,0.14385492090445057,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3175000,0.0,0.7868314532008146,284,0.7993267153452108,82,0.14380961063446077,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3176000,0.0,0.7868314532008146,284,0.7993899052014373,82,0.14376432889841492,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3177000,0.0,0.7868454952014212,284,0.7993311312741244,82,0.14371907566936784,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3178000,0.0,0.7868454952014212,284,0.7990795889250786,82,0.14367385092040824,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3179000,0.0,0.7868454952014212,284,0.7988282048424771,82,0.14362865462465868,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3180000,0.0,0.7868454952014212,284,0.7988896265401619,82,0.14358348675527555,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3181000,0.0,0.7868800191894549,285,0.7989528544819562,82,0.14353834728544898,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3182000,0.0,0.7868811770329042,285,0.7990160426792453,82,0.14349323618840282,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3183000,0.0,0.7868811770329042,285,0.799079191169492,82,0.14344815343739456,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3184000,0.0,0.7868811770329042,285,0.7991422999901119,82,0.1434030990057153,1379.183,0.8023255813953487,44.82614634146343,105,1.0
3185000,0.0,0.7868853091773398,285,0.7992053691784738,82,0.14335807286668967,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3186000,0.0,0.7868853091773398,285,0.7992683987718996,82,0.1433130749936758,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3187000,0.0,0.7868985945531428,285,0.7990380027788262,82,0.14326810536006523,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3188000,0.0,0.7868985945531428,285,0.7987873414833432,82,0.14322316393928294,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3189000,0.0,0.7868985945531428,285,0.7985368374053659,82,0.1431782507047872,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3190000,0.0,0.7868985945531428,285,0.7985999821855194,82,0.1431333656300696,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3191000,0.0,0.7869361972212292,286,0.7986631027424373,82,0.14308850868865491,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3192000,0.0,0.7869377298747149,286,0.7987261837466635,82,0.14304367985410113,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3193000,0.0,0.7869377298747149,286,0.7987892252353631,82,0.14299887909999937,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3194000,0.0,0.7869377298747149,286,0.7988522272456549,82,0.14295410639997377,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3195000,0.0,0.7869377298747149,286,0.7989151898146108,82,0.14290936172768157,1379.183,0.8023255813953487,44.82614634146343,106,1.0
3196000,0.0,0.7869436615890777,286,0.7989781129792569,83,0.14292900765602584,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3197000,0.0,0.7869436615890777,286,0.7990409967765725,83,0.14319710327040114,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3198000,0.0,0.786946380910993,286,0.798989815653372,83,0.14346503121422588,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3199000,0.0,0.786946380910993,286,0.798740031415416,83,0.14373279164474595,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3200000,0.0,0.786946380910993,286,0.7984904033062744,83,0.14400038471901072,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3201000,0.0,0.786946380910993,286,0.7985533327728418,83,0.1441926644203661,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3202000,0.0,0.786946380910993,286,0.7986162510395122,83,0.14414763074795087,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3203000,0.0,0.786946380910993,286,0.7986791300156618,83,0.1441026251962236,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3204000,0.0,0.786946380910993,286,0.7987419697380828,83,0.14405764773885316,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3205000,0.0,0.786946380910993,286,0.7988047702435211,83,0.1440126983495412,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3206000,0.0,0.78695761548963,287,0.7988675315686773,83,0.14396777700202223,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3207000,0.0,0.7869601513615415,287,0.7989302537502058,83,0.14392288367006353,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3208000,0.0,0.7869601513615415,287,0.7989929368247154,83,0.14387801832746508,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3209000,0.0,0.7869601513615415,287,0.7990555808287694,83,0.1438331809480595,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3210000,0.0,0.7869640347013821,287,0.7991181857988853,83,0.14378837150571203,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3211000,0.0,0.7869640347013821,287,0.7991807517715354,83,0.14374358997432046,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3212000,0.0,0.7869752064362739,287,0.7989456739090635,83,0.14369883632781513,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3213000,0.0,0.7869752064362739,287,0.7986969918901533,83,0.14365411054015878,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3214000,0.0,0.7869752064362739,287,0.798448464633964,83,0.1436094125853466,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3215000,0.0,0.7869752064362739,287,0.798511161086807,83,0.14356474243740608,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3216000,0.0,0.7869752064362739,287,0.7985738185459226,83,0.1435201000703971,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3217000,0.0,0.7870223771101816,288,0.7986364370476773,83,0.14347548545841168,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3218000,0.0,0.787023637234589,288,0.7986990166283926,83,0.14343089857557417,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3219000,0.0,0.787023637234589,288,0.7987615573243447,83,0.143386339396041,1380.2968674698795,0.8045977011494252,44.28607228915664,106,1.0
3220000,0.0,0.787023637234589,288,0.7988240591717649,83,0.14334180789400072,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3221000,0.0,0.787023637234589,288,0.7988865222068393,83,0.1432973040436739,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3222000,0.0,0.7870285998868527,288,0.7989489464657092,83,0.14325282781931323,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3223000,0.0,0.7870375478412788,288,0.7988367766351511,83,0.1432083791952032,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3224000,0.0,0.7870375478412788,288,0.7985889769507983,83,0.14316395814566032,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3225000,0.0,0.7870375478412788,288,0.798341330954016,83,0.14311956464503292,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3226000,0.0,0.7870375478412788,288,0.7984038468185509,83,0.1430751986677011,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3227000,0.0,0.7870375478412788,288,0.7984663239342223,83,0.1430308601880768,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3228000,0.0,0.7870809494568585,289,0.7985287623370455,83,0.1429865491806036,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3229000,0.0,0.7870809494568585,289,0.7985911620629909,83,0.1429422656197568,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3230000,0.0,0.7870929735083698,289,0.7986535231479842,83,0.1428980094800432,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3231000,0.0,0.7870929735083698,289,0.7987158456279071,83,0.1428537807360013,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3232000,0.0,0.7871089733400669,289,0.7987781295385965,83,0.14280957936220104,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3233000,0.0,0.7871217145230537,289,0.7986526729445893,83,0.1427654053332438,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3234000,0.0,0.7871217145230537,289,0.7984056964918728,83,0.14272125862376245,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3235000,0.0,0.7871217145230537,289,0.7981588727426109,83,0.14267713920842115,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3236000,0.0,0.7871217145230537,289,0.7982212517904724,83,0.14263304706191543,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3237000,0.0,0.7871217145230537,289,0.7982835922937275,83,0.14258898215897206,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3238000,0.0,0.7871217145230537,289,0.7983458942880904,83,0.14254494447434907,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3239000,0.0,0.787205188652183,290,0.7984081578092318,83,0.14250093398283561,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3240000,0.0,0.7872150140684218,290,0.798470382892778,83,0.14245695065925204,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3241000,0.0,0.7872150140684218,290,0.7985325695743116,83,0.14241299447844968,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3242000,0.0,0.7872150140684218,290,0.7985947178893711,83,0.142369065415311,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3243000,0.0,0.7872391124039522,290,0.7986568278734512,83,0.14232516344474935,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3244000,0.0,0.7872466726802836,290,0.7984486166387589,83,0.14228128854170907,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3245000,0.0,0.7872466726802836,290,0.7982025403553528,83,0.14223744068116537,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3246000,0.0,0.7872466726802836,290,0.7979566157031964,83,0.1421936198381243,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3247000,0.0,0.7872466726802836,290,0.7980188457044818,83,0.14214982598762274,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3248000,0.0,0.7872466726802836,290,0.7980810373834961,83,0.14210605910472823,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3249000,0.0,0.7872466726802836,290,0.7981431907756278,83,0.1420623191645391,1380.2968674698795,0.8045977011494252,44.28607228915664,107,1.0
3250000,0.0,0.7873385033123913,291,0.7982053059162216,83,0.14201860614218426,1380.2968674698795,0.8045977011494252,44.28607228915664,108,1.0
3251000,0.0,0.7873476918742202,291,0.7982673828405789,83,0.14197492001282325,1380.2968674698795,0.8045977011494252,44.28607228915664,108,1.0
3252000,0.0,0.7873476918742202,291,0.7983294215839574,83,0.14193126075164617,1380.2968674698795,0.8045977011494252,44.28607228915664,108,1.0
3253000,0.0,0.7873476918742202,291,0.7983914221815717,83,0.14188762833387358,1380.2968674698795,0.8045977011494252,44.28607228915664,108,1.0
3254000,0.0,0.7873722394941901,291,0.7984533846685931,83,0.1418440227347566,1380.2968674698795,0.8045977011494252,44.28607228915664,108,1.0
3255000,0.0,0.7873776677210022,291,0.798314225940065,83,0.14180044392957666,1380.2968674698795,0.8045977011494252,44.28607228915664,108,1.0
3256000,0.0,0.7873776677210022,291,0.7980690223453093,83,0.14175689189364563,1380.2968674698795,0.8045977011494252,44.28607228915664,108,1.0
